Fecha,Capital,Bs As,Catamarca,Chaco,Chubut,Cordoba,Corrientes,Entre Ríos,Formosa,Jujuy,La Pampa,La Rioja,Mendoza,Misiones,Neuquen,Rio Negro,Salta,San Juan,San Luis,Santa Cruz,Santa Fe,Santiago del Estero,Tierra del Fuego,Tucuman
40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,9,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,10,2,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
47,11,3,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
48,12,4,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
49,15,8,0,4,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
50,17,9,0,4,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
51,26,11,0,5,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
52,32,12,0,7,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,0
53,37,16,0,11,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,0
54,40,17,0,12,0,4,0,1,0,1,0,0,0,0,0,2,1,0,1,1,1,0,2,0
55,53,23,0,13,0,5,0,3,0,1,0,0,0,0,0,2,1,0,1,1,1,0,2,0
56,67,38,0,15,0,8,0,3,0,1,0,0,0,0,0,3,1,0,1,1,2,0,2,1
57,80,49,0,16,0,13,1,4,0,1,0,0,0,0,2,4,1,0,1,1,2,1,3,1
58,113,64,0,21,0,17,3,4,0,1,0,0,5,0,2,5,1,0,1,1,4,1,6,2
59,127,72,0,28,0,25,3,4,0,1,0,0,5,0,2,5,1,0,1,1,4,2,6,7
60,141,77,0,33,0,28,3,4,0,1,0,0,5,0,2,5,1,0,1,1,17,2,6,7
61,174,107,0,46,0,35,4,4,0,1,1,0,5,0,3,5,1,0,1,2,19,2,9,7
62,211,137,0,54,0,50,4,7,0,1,1,0,6,0,4,5,1,0,5,8,43,2,11,9
63,262,164,0,58,0,53,5,10,0,3,1,0,8,0,7,5,1,0,6,9,55,2,14,13
64,285,193,0,63,0,58,11,10,0,3,1,0,9,1,10,7,1,0,6,9,64,3,14,14
65,304,201,0,67,0,57,13,10,0,3,1,0,9,2,12,7,1,1,6,9,77,3,19,14
66,338,217,0,73,0,73,16,10,0,3,3,1,10,2,15,7,1,1,6,9,90,3,22,14
67,366,253,0,86,0,80,20,13,0,3,3,1,12,2,20,7,1,1,6,9,111,3,32,15
68,387,270,0,91,0,96,21,13,0,3,3,1,14,3,24,8,1,1,8,9,133,3,39,16
69,399,280,0,96,0,102,22,14,0,3,3,1,25,3,26,8,3,1,8,21,144,3,39,17
70,440,316,0,106,0,120,23,16,0,5,3,4,25,3,34,8,3,1,9,21,152,4,63,21
71,472,338,0,115,0,134,23,18,0,5,3,4,27,3,35,10,3,1,9,22,160,4,64,21
72,520,364,0,121,0,138,23,18,0,5,3,6,29,3,43,14,3,1,9,23,165,4,72,22
73,564,397,0,121,0,143,25,19,0,5,3,8,31,3,54,17,3,1,10,23,176,4,75,22
74,588,409,0,124,0,150,26,19,0,5,3,9,31,3,55,25,3,1,10,23,184,10,77,27
75,622,443,0,140,0,154,26,20,0,5,3,9,33,3,60,28,3,1,10,31,187,9,79,28
76,648,460,0,148,0,155,27,20,0,5,4,9,41,3,84,35,3,1,10,31,189,9,81,28
77,674,488,0,156,0,160,31,22,0,5,4,14,49,3,88,40,3,1,10,31,196,9,81,29
78,708,507,0,161,0,173,31,22,0,5,5,14,54,3,89,52,3,1,10,37,197,9,83,29
79,749,544,0,177,0,205,31,22,0,5,5,18,56,3,90,71,3,2,10,40,200,12,86,30
80,772,586,0,178,0,205,31,21,0,5,5,19,57,3,93,78,3,2,10,40,203,12,90,30
81,785,601,0,199,0,215,31,21,0,5,5,22,59,3,94,86,3,2,10,40,205,12,94,30
82,806,667,0,209,0,226,31,21,0,5,5,28,62,3,96,101,3,2,10,40,207,12,96,30
83,841,729,0,226,1,232,31,21,0,5,5,34,63,3,96,106,4,2,10,40,209,12,99,30
84,863,759,0,226,2,244,32,22,0,5,5,34,68,3,96,115,3,2,10,40,212,12,106,30
85,880,794,0,237,1,250,32,22,0,5,5,35,68,4,99,119,3,2,10,40,218,12,108,30
86,905,825,0,246,1,252,32,22,0,5,5,35,69,5,101,126,3,2,10,40,221,12,108,30
87,919,873,0,251,2,263,32,22,0,5,5,39,70,5,102,130,3,2,10,40,222,12,111,30
88,954,915,0,258,2,263,35,22,0,5,5,39,70,5,105,144,3,2,10,41,224,12,111,31
89,1001,975,0,267,2,264,35,22,0,5,5,40,70,5,106,158,3,2,10,41,225,12,112,31
90,1044,1036,0,273,2,268,36,22,0,5,5,45,70,5,107,169,3,2,10,41,230,12,112,35
91,1095,1120,0,281,2,270,40,22,0,5,5,45,70,5,107,173,3,2,10,41,236,12,113,35
92,1202,1181,0,285,2,272,40,22,0,5,5,47,70,6,107,178,3,2,10,42,239,12,114,34
93,1260,1275,0,298,2,273,47,22,0,5,5,50,70,6,108,184,3,2,10,42,242,13,117,34
94,1303,1331,0,302,2,276,47,23,0,5,5,50,70,6,111,189,4,2,10,43,242,15,117,35
95,1347,1381,0,310,2,277,47,23,0,5,5,50,70,8,111,193,4,2,10,48,242,15,118,35
